clade_name	NCBI_tax_id	wHAXPI032581-18	wHAXPI032582-19	wHAXPI032583-21	wHAXPI032584-22	wHAXPI032585-23	wHAXPI032586-25	wHAXPI032587-26	wHAXPI032588-27	wHAXPI032589-28	wHAXPI032590-29	wHAXPI032591-31	wHAXPI032592-32	wHAXPI032593-34	wHAXPI032594-36	wHAXPI032595-39	wHAXPI032596-40	wHAXPI032597-41	wHAXPI032598-42	wHAXPI032599-45	wHAXPI032600-47	wHAXPI032601-50	wHAXPI032602-54	wHAXPI032603-63	wHAXPI032604-74	wHAXPI032605-75	wHAXPI032606-80	wHAXPI032607-89	wHAXPI032608-111	wHAXPI032609-18	wHAXPI032610-19	wHAXPI032611-21	wHAXPI032612-22	wHAXPI032613-23	wHAXPI032614-24	wHAXPI032615-25	wHAXPI032616-26	wHAXPI032617-27	wHAXPI032618-28	wHAXPI032619-29	wHAXPI032620-32	wHAXPI032621-34	wHAXPI032622-36	wHAXPI032659-39	wHAXPI032660-40	wHAXPI032661-41	wHAXPI032662-42	wHAXPI032663-45	wHAXPI032696-31	wHAXPI032697-24	wHAXPI032780-47	wHAXPI032781-50	wHAXPI032782-54	wHAXPI032783-63	wHAXPI032784-74	wHAXPI032785-75	wHAXPI032786-80	wHAXPI032787-89	wHAXPI032788-111	wHAXPI032789-18	wHAXPI032790-19	wHAXPI032791-21	wHAXPI032792-22	wHAXPI032793-23	wHAXPI032794-24	wHAXPI032795-25	wHAXPI032796-26	wHAXPI032797-27	wHAXPI032798-28	wHAXPI032799-29	wHAXPI032800-31	wHAXPI032801-32	wHAXPI032802-34	wHAXPI032803-36	wHAXPI032804-39	wHAXPI032806-41	wHAXPI032807-42	wHAXPI032808-45	wHAXPI032809-47	wHAXPI032810-50	wHAXPI032811-54	wHAXPI032812-63	wHAXPI032813-74	wHAXPI032814-75	wHAXPI032815-80	wHAXPI032816-89	wHAXPI032817-111	wHAXPI033593-26	wHAXPI033594-31	wHAXPI033598-32	wHAXPI033601-28	wHAXPI033605-29	wHAXPI033606-30	wHAXPI033608-27	wHAXPI033632-52	wHAXPI033633-76	wHAXPI033634-77	wHAXPI033635-78	wHAXPI033636-79	wHAXPI033788-13	wHAXPI033789-15	wHAXPI033790-16	wHAXPI033791-18	wHAXPI033792-19	wHAXPI033793-20	wHAXPI033794-21	wHAXPI033795-22	wHAXPI033796-23	wHAXPI033810-24	wHAXPI033811-25	wHAXPI033812-26	wHAXPI033813-27	wHAXPI033814-28	wHAXPI033815-29	wHAXPI033816-30	wHAXPI033817-31	wHAXPI033818-32	wHAXPI033819-34	wHAXPI033820-35	wHAXPI033821-36	wHAXPI033822-39	wHAXPI033823-40	wHAXPI033824-41	wHAXPI033825-42	wHAXPI033826-45	wHAXPI033827-47	wHAXPI033828-50	wHAXPI033829-54	wHAXPI033830-58	wHAXPI033831-59	wHAXPI033832-61	wHAXPI033833-63	wHAXPI034447-36	wHAXPI034448-37	wHAXPI034449-39	wHAXPI034450-40	wHAXPI034451-47	wHAXPI034452-50	wHAXPI034453-52	wHAXPI034454-53	wHAXPI034455-54	wHAXPI034456-57	wHAXPI034457-58	wHAXPI034458-59	wHAXPI034459-60	wHAXPI034460-61	wHAXPI034461-62	wHAXPI034462-63	wHAXPI034463-68	wHAXPI034464-70	wHAXPI034465-71	wHAXPI034466-72	wHAXPI034467-73	wHAXPI034468-74	wHAXPI034918-16	wHAXPI034919-17	wHAXPI034920-8	wHAXPI034921-9	wHAXPI034922-11	wHAXPI034923-12	wHAXPI034924-13	wHAXPI034925-14	wHAXPI034926-15	wHAXPI037144-8	wHAXPI037145-9	wHAXPI037146-11	wHAXPI037147-12	wHAXPI043592-8	wHAXPI043593-9	wHAXPI043594-11	wHAXPI047830-11	wHAXPI048670-90
s__Prevotella_stercorea	0	20.28325	0.02237	0.02614	9.10061	0.03442	0.02484	0.02251	0.0292	21.66217	0.0263	1.19756	0.00063	0.10115	0.0	0.0	0.00011	0.0	0.0	0.0006	0.0	0.00507	0.00307	0.00739	5.31852	0.00292	0.00499	0.00338	0.00436	0.00317	0.00393	0.00348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0079	0.00587	0.00741	0.00635	0.00535	5.06279	0.0	0.0	0.00665	0.00697	0.0078	0.00775	0.00501	0.06814	16.16412	0.0803	4.02233	0.07776	0.05532	0.06149	0.04851	0.04246	0.05977	0.05418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.65549	0.02681	0.02028	0.02445	0.02266	0.11007	0.02028	0.01856	0.03562	0.15622	0.01605	0.04382	0.1443	0.0476	0.03384	5.99471	12.99282	0.81622	0.0	0.0	0.0	0.0	0.0	45.18944	0.04846	0.04172	0.0349	0.03921	0.03141	12.95721	0.0554	0.00861	0.19481	0.00576	0.00892	0.05357	0.00749	7.077	0.00812	0.00492	0.00724	0.00844	59.05122	0.008	0.01925	0.01692	0.01887	0.00843	0.0144	0.03444	0.06757	0.12279	0.04006	31.8732	0.03943	0.04497	12.29794	0.00583	0.00367	0.00679	0.0503	0.04307	0.02413	11.87305	0.01878	0.02743	0.02259	0.0	0.06936	0.03346	0.03541	0.0	0.0	0.0	0.0	0.0	0.0	1.17915	0.00418	0.00304	0.00394	0.00416	0.00472	0.00366	3.60253	0.00368	0.00475	0.01946	0.04776	0.01143	0.01651	0.007	0.01261	9.89293	0.0617	0.0
s__Bacteroides_plebeius	0	17.55743	0.06043	8.74334	1.08775	13.43887	18.40066	0.04267	22.20592	2.95273	41.02609	0.10531	7.682	2.03942	0.08937	0.14827	45.83134	0.10596	0.14128	0.12544	18.50019	0.23155	0.18537	0.25729	0.28984	31.07443	23.69995	43.37413	0.21789	1.89118	0.16616	0.22618	0.28668	0.24605	0.29817	0.26698	16.6063	8.21132	29.43145	25.01994	32.98915	41.89547	0.01617	0.01605	0.0186	0.01949	0.01393	0.41077	22.21487	0.10205	0.02069	0.02266	0.01981	0.01881	6.87007	0.01813	0.02094	0.02886	0.0144	0.02512	0.01997	0.02531	0.01675	0.01447	9.21274	0.0162	1.07838	1.13065	0.00807	3.00065	0.01048	1.82204	0.00783	0.0093	0.00692	0.01775	28.02727	44.75215	4.04575	0.54048	0.15292	0.64519	6.63838	1.6116	0.17564	0.19497	0.14294	0.06009	30.21221	11.62002	0.20224	0.05383	0.06157	0.04178	29.3868	4.25049	0.02621	0.02157	0.03351	0.04541	0.04931	0.05084	53.59613	27.66549	0.04834	7.08282	0.0641	0.09637	2.92631	0.04372	0.10114	0.16191	0.12226	0.08279	55.66924	0.9823	0.06995	0.06469	0.00194	11.40368	4.15201	0.00436	3.70555	0.0	6.52243	0.08755	0.18621	0.29454	0.09569	3.75958	0.09675	57.27873	0.6803	0.03072	1.22236	43.38987	0.16519	0.04819	44.65102	0.04866	5.9669	0.0649	9.06107	0.08718	0.1812	0.08179	0.09837	0.07559	58.74485	64.21402	0.24665	0.0	0.0	0.75074	0.0408	0.03562	0.04033	36.36774	0.04229	0.02997	0.21928	0.03239	0.07512	6.01451	0.45377	0.11175	49.65668	8.92107	0.03748	0.03956	0.15967	33.79514
s__Bacteroides_uniformis	0	13.01197	0.06236	1.83585	0.0168	11.09952	4.85362	3.98043	10.13667	1.07881	9.77184	0.7062	0.04733	8.41248	0.48946	5.38319	2.4767	2.92394	0.44652	10.17904	3.33561	19.55491	0.90422	11.88339	3.466	3.8726	7.04147	5.25135	10.16341	3.15825	0.21665	0.14508	4.9985	26.01699	0.12001	1.45086	5.35159	4.98805	13.53817	10.37517	3.92466	3.99141	0.26775	7.28925	18.58767	0.71732	6.00743	0.28592	0.18293	15.13458	1.67364	0.27982	35.5279	5.63538	18.99782	9.42527	1.28284	0.0902	0.22874	1.12457	3.26811	6.44215	0.05608	0.94204	1.3591	0.25553	0.63417	0.64863	24.48823	0.92818	0.09032	1.21116	3.80507	5.49999	0.05984	1.27484	9.33822	10.85675	0.0424	1.66006	3.6183	0.56291	0.16113	0.08062	0.09423	1.81839	2.39293	7.21909	2.46828	5.40476	0.05601	3.18508	0.24014	0.05855	6.1514	10.42756	7.40002	17.02676	3.90626	5.74129	1.96048	0.01242	0.01467	4.33736	7.34644	0.47471	0.01033	17.80532	5.4118	0.08995	11.8351	0.14253	0.06628	3.50892	2.21597	0.05401	10.46252	0.61112	2.26394	0.05144	3.04068	10.971	2.78432	1.07317	3.31475	1.39077	5.85183	1.41938	1.40825	0.07797	0.03933	1.91493	0.14577	14.77997	0.72787	0.6906	9.26035	1.32533	0.82756	0.14545	0.44409	5.0	0.99441	15.71417	8.83912	6.04044	0.04366	1.72076	1.4344	0.37536	0.01156	0.37777	3.5341	0.52378	2.97147	8.06899	4.07668	12.19125	0.04653	1.66165	0.07897	0.04204	12.51136	2.78629	5.76153	2.00778	4.23961	0.58909	31.58569	5.78249	7.68644	0.06681
s__Alistipes_putredinis	0	6.42765	0.06487	12.14601	0.015	11.72518	6.8959	2.87956	0.73034	2.30452	7.40752	10.66457	1.03657	5.92271	0.06672	0.09574	6.09353	3.62557	2.75786	0.08931	8.19406	7.00897	1.38182	3.5473	1.34077	2.93174	3.65385	0.05277	4.8467	9.31224	0.05509	0.07664	0.09722	1.58655	0.09499	15.78152	6.23754	7.0652	11.22629	2.59107	10.33833	4.96343	0.00897	0.31091	0.0111	0.01146	0.00779	0.37286	0.11548	14.73056	0.0095	0.01122	0.00888	0.00999	4.39901	5.64438	4.09076	0.03849	0.27733	0.0412	0.03004	0.03635	0.02549	1.26636	0.23937	0.02871	2.38205	2.70154	1.62071	9.82585	0.04531	4.76142	0.03232	0.04234	0.02828	6.04223	6.24153	0.03296	0.02227	7.3535	0.03054	0.21566	2.07211	0.02313	0.0599	0.04131	0.0254	0.03258	1.6388	3.30958	0.18157	9.62355	1.08159	0.06311	12.47001	23.83153	4.69222	18.8916	4.31883	0.02279	0.07675	0.0005	0.00331	1.60831	4.91831	1.09142	0.00248	3.43449	1.64248	0.01495	0.02632	0.03123	0.08448	3.61701	1.13517	0.01587	8.07591	0.01843	1.70533	0.19943	0.65794	13.70513	17.73339	0.0053	20.18901	3.11628	0.0284	6.62016	3.57525	0.00652	0.01306	1.47513	0.00754	5.58069	5.952	0.50826	12.77472	0.03101	1.51161	1.73647	2.2055	0.10743	0.92289	0.01392	4.52443	12.11427	0.05166	0.00751	0.0121	0.00536	0.02649	0.90747	1.05881	1.47385	7.95287	8.51255	1.04257	1.21512	0.03044	2.0747	0.03718	0.03017	4.97989	6.65497	1.17506	0.02051	2.96906	0.73547	12.72162	3.65698	0.03296	0.0317
s__Bacteroides_vulgatus	0	5.47202	4.52635	17.33942	0.22089	2.56788	10.76953	0.11947	20.07375	0.40499	5.84513	0.2153	0.08136	0.68366	1.94318	39.72785	7.10804	7.92044	3.38429	15.91318	9.51038	10.23994	21.40839	17.69054	0.21677	4.8053	6.27709	4.90084	13.76221	1.54518	3.97299	1.08322	0.19266	28.01185	53.17565	9.70917	7.82736	3.3342	4.7914	6.29333	2.08184	10.29567	19.78401	12.05941	24.87636	30.30203	58.51784	0.68803	0.89335	4.17324	37.67354	64.42632	19.36107	43.90472	6.42872	16.54383	2.64134	0.55258	1.13183	64.65312	0.37861	49.81429	0.37081	1.47395	8.30308	12.88305	0.92134	0.8808	23.12406	0.76426	0.35978	1.94138	54.41377	51.92417	25.83174	8.81225	6.42375	10.26635	1.61969	3.09997	29.31478	1.76347	2.45154	1.43851	0.59888	0.47376	1.68987	37.66704	7.99394	5.55471	0.19336	15.56139	0.54472	0.10046	3.84579	3.60248	11.61147	17.43457	20.97683	7.84257	11.12194	2.33247	4.07533	4.19779	26.02156	0.38551	0.03356	0.65119	2.67892	4.84481	0.07029	0.29664	0.35947	10.78436	10.0937	0.28186	2.91884	17.36848	3.91859	0.91622	0.56276	16.22814	11.80356	11.04365	0.01454	6.60528	0.14663	11.10291	2.23606	0.14162	27.90704	9.97349	0.22837	16.91369	0.21792	10.93175	3.81459	57.0211	7.61583	0.58948	0.45053	36.69659	2.08314	44.67468	14.8436	21.02903	0.24041	30.25164	9.17473	8.85418	0.09759	0.18427	25.28562	1.39534	5.64722	16.02577	25.60556	16.16002	84.97335	5.81158	0.38866	0.18158	10.80066	1.80257	16.77064	23.25814	1.0406	0.12498	7.38215	9.87256	34.63441	11.6775
s__Dialister_sp_CAG_357	0	4.53828	0.0	0.04624	0.0	0.06943	0.0	0.0	0.0	0.0	0.0	0.00885	0.00835	0.05972	0.00691	0.01165	2.13344	2.94222	0.3448	2.55325	2.59872	0.02017	0.01432	0.01728	0.01198	0.01778	0.01118	0.01006	0.01576	10.94193	0.01205	0.01451	6.06154	3.22845	0.02364	0.02071	0.03551	0.03758	4.00914	1.85221	2.57151	0.01979	5.378	0.01048	0.01669	0.01314	0.01304	2.80079	0.01633	2.35586	0.01439	0.02023	0.01847	0.01513	1.54246	0.00153	0.0	0.00073	0.0006	0.0	0.0007	0.00076	0.0009	2.05643	0.0	0.0	2.05394	2.50897	0.00803	0.01255	0.01788	0.00778	0.00993	0.00974	0.0053	0.02156	0.02531	0.02296	9.11914	0.03536	0.02886	0.11167	5.74884	0.02353	0.02791	1.57196	0.02541	0.01216	15.41984	0.01514	0.01007	0.01321	0.01864	0.01094	4.96108	2.96076	0.0003	0.00349	0.00399	2.96322	0.00213	0.0	0.0	2.05718	0.0	0.0	0.0	0.00816	0.00536	0.0054	0.00608	0.01211	1.83985	0.00817	0.00794	3.86725	0.00606	0.00457	0.0	0.0	0.0	0.0	6.23044	2.53326	0.0	3.53657	0.01478	0.03176	0.00859	0.00575	0.00948	4.80584	0.0	0.94078	0.02644	0.0	0.03338	0.01318	4.5731	4.37864	0.07379	0.01092	0.01069	0.0	10.18195	0.02007	0.02067	0.0	0.00249	4.35777	0.0	6.34169	0.0	0.01515	3.85044	0.02706	0.00692	1.92729	0.00657	1.13911	0.53875	0.00671	1.60583	0.0	0.0	0.0	0.07739	0.00306	0.00274	0.00213	0.00604	0.0
s__Eubacterium_eligens	0	3.33262	0.0	0.00023	0.00503	1.871	1.63864	0.0	0.00048	0.13173	0.72079	0.01775	0.14042	0.15112	2.45119	7.29061	0.02461	0.35775	0.20531	2.49229	1.28922	1.72127	23.88205	2.07557	0.58389	1.3271	0.60725	0.05334	0.05868	6.25554	0.04516	0.06422	7.59938	0.17978	0.35092	0.02772	1.32369	0.1848	0.4121	7.8977	1.3909	4.11737	0.14112	3.97858	0.00706	0.0038	0.00464	0.06864	0.04851	0.01194	0.58929	0.0058	0.13113	0.15288	0.00458	4.4651	0.43806	2.98134	0.14127	0.0492	1.47221	0.03503	0.02475	0.16677	1.51229	0.82882	0.67008	0.56133	0.00362	0.64413	0.07986	0.13697	0.0026	0.00356	0.0013	0.95425	0.0	0.0	0.0	0.0	0.0	0.0	0.32734	0.00047	0.0	0.02821	0.67631	0.00281	0.01171	1.33701	0.22341	0.00112	0.86832	0.6803	1.87027	0.09842	0.00392	0.63147	0.22096	0.67154	2.17655	0.00155	0.07279	2.56367	0.0	0.11856	0.0	1.36046	0.44512	0.00448	0.01146	0.70286	0.01087	2.40819	0.00262	0.27885	0.03034	0.00171	0.03157	0.00587	0.14888	0.09881	0.03009	0.00903	0.0	0.02501	0.00819	1.95549	0.00685	0.0	0.00202	0.02835	2.68058	5.28035	0.14769	0.0	0.05191	0.01863	0.03407	0.15604	0.01439	19.80991	0.38827	0.33638	2.31597	1.00329	0.02386	0.0	0.0	0.0693	0.0	0.01556	0.0308	0.05571	0.00161	0.0	0.02868	0.08854	0.0	0.12618	0.0	0.0	0.31069	0.81617	0.42939	0.00287	0.00109	1.62037	0.00361	0.59743	0.4538	0.26122
s__Escherichia_coli	0	2.12751	0.1255	0.13689	0.00416	0.10042	0.03199	0.78825	0.26665	0.02901	0.00384	0.11598	0.15858	4.12145	0.40315	0.71559	0.22513	0.02181	0.01949	1.16709	0.13197	0.0541	0.05317	0.60051	0.63665	1.75598	0.47115	0.02021	0.00328	0.0095	0.02743	0.05532	0.17444	0.35772	0.40548	1.70552	0.92758	0.4878	0.13158	0.03638	0.49212	0.62498	1.04552	0.04424	0.3791	0.81462	1.51485	0.0787	7.78221	2.71888	0.16158	2.73117	0.02946	5.27512	0.13113	0.2364	0.14592	15.16906	30.4974	7.46615	0.40149	8.27327	0.11889	0.13462	0.28796	0.23071	0.2062	0.23587	0.10978	0.2571	0.39464	0.17647	2.73931	0.10275	1.37991	0.18259	2.34659	0.35947	0.64275	0.4515	0.50285	1.30226	0.14263	0.12088	17.81366	17.02042	0.29241	1.97822	0.6694	0.16952	0.00604	0.20568	3.43053	0.05629	0.17235	1.15176	0.80236	0.1352	1.35169	0.63592	0.01351	0.54512	0.61312	0.66376	0.12783	0.76194	0.1878	1.44044	0.14161	2.427	0.20939	6.8378	0.0507	0.23786	11.47674	0.0202	0.13134	0.24501	0.38321	1.39483	0.19636	0.07623	6.19384	0.96354	3.22858	0.02856	6.20078	0.09723	0.41537	0.40864	0.01666	8.70665	0.03107	0.01161	0.23465	0.60127	1.41222	3.24209	4.03164	0.35272	0.01973	4.43612	0.13936	0.51375	0.73085	0.57615	1.30915	1.94873	0.41339	0.10092	0.615	0.01784	0.05599	0.8333	0.38392	1.00814	1.46198	0.75328	2.36502	0.86282	0.34534	1.00767	0.02811	0.41802	3.13657	1.26867	2.79116	0.07465	0.10713	0.40001	0.45324	6.05846
s__Ruminococcus_bromii	0	2.01921	0.0	0.0	0.0	3.93694	0.83585	1.35038	0.00051	0.00098	1.72431	2.02488	0.84437	6.81313	0.01527	0.0268	0.74726	1.64044	0.13833	0.48366	1.64525	0.49095	3.79479	0.06081	0.04561	1.57677	5.52324	0.02236	1.53404	1.39097	0.01901	0.03331	5.45491	0.01619	0.02137	0.02181	0.02351	5.80297	0.02082	1.3708	2.6278	0.014	0.0506	0.50234	0.04708	0.0443	1.85953	0.05811	0.01521	2.10401	11.83013	0.05464	1.65652	1.71854	0.03643	1.41084	0.1509	2.78893	0.1104	0.03672	3.54881	0.02605	0.0199	0.05552	2.82797	0.02941	0.44167	0.44254	0.02334	0.07175	3.07387	0.03176	0.02217	1.59937	0.02121	15.55283	0.57839	0.01591	1.72076	2.28672	1.86074	0.0674	1.26138	0.66794	0.03923	0.02583	2.07528	0.015	0.0357	0.01176	0.07763	5.72516	2.58064	0.1811	0.0	3.23027	0.00179	2.42879	0.00298	1.61987	1.36376	0.00285	2.02195	1.12272	0.04168	0.10407	0.28224	0.0443	2.83232	0.01004	0.87761	8.79617	0.01331	1.18788	0.01604	0.01128	5.68981	0.01978	0.01409	0.0	0.08286	2.67934	0.0	0.11903	0.0	0.0673	0.02994	5.81179	3.81823	10.95541	0.0168	0.05713	1.15368	1.49076	1.31579	0.06896	0.0	0.00504	0.0	0.03571	0.0	0.0	0.32676	0.00095	0.0	0.0	0.0	0.01595	0.00026	0.58272	0.00055	0.0	0.0	0.0	0.18661	0.00253	0.67468	3.23019	0.00357	0.05645	0.00226	0.00285	0.93053	0.74257	0.00065	0.0	0.0	0.02899	3.27757	0.0198	0.0	0.03721
s__Eubacterium_sp_CAG_180	0	1.59373	0.00021	0.00283	0.00093	0.00289	0.30868	7.07171	0.00363	2.73287	0.00322	8.58535	0.0073	0.03823	0.00765	0.01134	0.4754	0.00936	0.0126	0.01021	0.77974	0.85367	3.52611	0.01204	0.01683	0.01259	3.14344	0.00999	0.01094	0.01005	0.00857	0.057	0.09666	0.01205	0.01511	7.58459	0.01614	0.01723	0.01351	0.01045	0.01024	0.00773	0.0	0.0	0.0	0.0	0.0	0.0	0.1629	0.00707	0.0	0.0	0.0	0.0	0.0	0.00083	0.00704	0.0	0.00403	0.0	0.0	0.0	0.0	0.43149	0.0	0.0	0.0	0.0	0.0	1.98393	0.0	0.0	0.0	0.0	0.0	0.05971	5.08519	0.01822	0.90194	3.08467	0.09659	0.07363	0.10512	0.38866	0.0236	0.02447	0.01383	0.0	0.92062	0.00162	0.0	0.02369	0.014	0.10044	0.0	0.00661	0.0	0.01084	3.6745	0.0	0.0	0.0	0.0	2.38858	0.0	0.00369	0.0	0.01016	6.51789	0.00541	0.0082	0.09695	0.01748	2.74105	0.0088	0.00602	0.00665	0.02159	0.5579	0.0	0.0	0.0	0.0	0.0	0.0	0.00291	0.00535	0.06536	5.01168	0.23357	0.00364	0.00482	0.0649	0.0	0.0	0.0	0.00539	0.0	0.0004	0.00042	0.01448	0.0	0.13012	0.0	0.00305	2.24074	0.00224	0.0	0.0	0.0	0.0	0.0	0.0	0.88532	0.24822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00218	0.00616	0.04502	0.0	0.0
s__Roseburia_faecis	0	1.52045	0.0	0.0	0.03778	0.03847	0.0	0.89118	1.26883	0.24742	1.40453	2.99322	0.91219	0.68798	0.56698	1.1597	2.48465	0.03767	0.7229	8.22927	13.54366	0.08817	5.50231	3.07124	2.26415	8.67738	8.60185	0.07303	15.65664	1.16725	0.0672	0.08194	5.26525	0.22817	0.03298	6.60287	0.03921	3.3882	0.02992	1.54257	1.09549	1.03355	0.44696	0.57987	6.94794	0.06906	0.57565	0.33851	0.02884	0.09191	0.44049	0.97732	1.99585	4.21729	13.4743	13.89255	1.92363	3.91211	0.27334	0.51139	8.01864	0.11559	0.08537	1.26727	4.79531	1.71598	0.02053	0.02349	0.01877	4.05974	0.07252	1.36766	1.68696	0.02519	0.01395	7.17448	0.38138	0.29005	1.183	0.04629	5.54202	0.1642	2.00498	1.415	5.6115	3.16509	1.23955	0.00696	2.02414	2.09383	1.2825	1.14362	0.0501	0.40468	1.27287	0.15868	2.36771	1.06549	2.25365	3.10181	0.31405	1.75364	0.70499	0.734	0.0026	0.95487	0.22464	0.03285	0.38818	5.49689	0.14956	1.34552	0.04612	1.92107	0.02373	0.72874	4.19825	5.85147	2.07934	0.36919	0.87929	0.50447	0.11737	7.26269	0.70922	0.28218	0.23542	7.69175	0.00304	0.32845	0.08516	0.04664	0.36659	0.0	0.94686	1.91737	0.11455	8.14969	3.0695	1.3292	0.01517	0.33336	0.56527	0.21572	0.06148	4.03609	3.25958	0.00087	0.00483	3.12919	0.32143	0.0	0.03652	0.02705	0.38954	0.00609	0.00618	0.66276	0.00827	0.03672	0.76557	4.94094	0.84947	0.75522	0.10847	0.00924	2.31059	0.2903	0.02743	0.01955	0.0	0.00964
s__Faecalibacterium_prausnitzii	0	1.48306	0.44506	4.82559	0.46339	5.58282	2.13699	1.01482	2.49572	1.09864	3.72431	3.19879	1.27646	4.04715	5.36164	1.90145	2.85023	7.12408	0.80288	5.30479	5.23623	3.28331	3.05292	6.29674	3.70392	2.47123	10.02095	0.06133	6.63431	2.65376	0.42235	0.53737	8.0358	2.07591	2.35528	3.98911	4.92346	14.80415	3.05319	8.72648	4.05898	2.10278	0.89628	7.27196	6.99693	0.9748	0.56216	0.28287	1.64748	3.26382	1.06186	1.68744	1.87456	3.1114	3.02294	10.83925	4.64968	7.43242	0.28009	0.17789	0.22784	6.26208	0.14444	1.24414	8.77083	9.13419	0.62644	0.66742	1.07458	6.21187	5.2174	1.70115	0.17196	0.53499	11.13716	6.55296	1.3851	2.76722	2.08768	10.33964	4.42472	2.30908	2.81483	1.62049	1.36127	9.99106	4.47296	0.01588	2.21137	6.12406	0.63645	6.77609	0.36936	0.8407	2.47046	2.7088	4.25722	4.96665	6.104	3.44925	3.19516	0.20443	0.56202	8.3378	4.13309	1.03615	2.21212	0.60589	6.9138	4.43535	2.03165	11.55741	0.15272	3.24651	0.04669	1.25817	10.28578	7.24793	3.58914	3.50263	1.32258	5.93853	4.58299	5.90171	8.5236	0.54844	0.33926	5.23743	1.00164	2.30058	21.74962	0.35267	0.90065	5.08767	2.04478	6.78067	5.083	4.36347	1.32924	1.94034	0.53764	0.04541	2.22173	1.71124	5.75529	8.37529	10.45409	0.92431	0.25867	2.39977	0.32751	1.27514	4.66023	1.17882	1.88118	1.1732	0.8027	2.86778	0.01056	0.38451	0.49849	2.05146	1.23208	1.2591	3.76313	7.84408	0.40625	0.24756	2.2371	0.76597	0.4592	6.23166
s__Bifidobacterium_adolescentis	0	1.15789	0.02512	0.02784	0.36017	0.03851	0.02487	45.85385	0.02647	0.023	0.72578	2.17099	0.06551	2.04972	0.23931	0.01998	0.01575	1.60052	0.16373	6.31901	0.03128	27.78111	0.06641	0.07933	0.087	1.93009	3.28157	2.74145	1.84098	2.14865	0.04754	0.06653	0.00844	0.00889	0.00825	0.30381	0.01448	2.07129	0.0097	3.34094	2.01155	0.00625	0.0	0.0	0.0	0.0	0.0	0.27413	0.13077	3.45142	0.00061	0.00047	0.0	0.0	0.56243	0.02078	0.19031	0.62359	0.04565	0.02053	0.02145	0.0224	0.01487	0.37758	11.45222	0.24433	0.0	0.0	0.0	0.47728	0.33105	0.28431	0.0	0.0	0.0	0.88182	0.01932	0.03152	1.50471	0.06724	5.56262	0.17091	3.06076	4.71763	0.03033	0.03661	2.48253	0.00845	1.70318	5.16636	0.00739	0.00745	0.18411	0.00555	0.10703	0.0	0.0	0.0	0.0	2.77657	0.42845	0.85349	4.71987	1.77683	0.01374	0.11303	0.02452	0.32805	0.87083	0.02003	16.68396	12.76828	0.20477	0.43254	0.02742	0.36996	0.56222	0.03329	0.00054	0.47264	0.0	0.0	12.11423	1.59437	0.0	0.0	0.00313	0.40507	0.00032	0.0008	0.0	0.9812	0.05067	0.0	0.1552	0.0	3.85846	0.02641	0.0005	0.27645	0.00223	0.00354	0.79557	0.0	4.11133	0.00604	0.00953	0.0	0.0	0.0	1.09585	0.0	4.30687	0.01477	1.43479	0.00495	0.00322	2.12779	0.00611	0.07524	0.00258	0.46768	1.2137	0.80109	0.74124	0.0	0.0	0.0	0.00069	0.31081	0.0	0.0
s__Eubacterium_siraeum	0	1.09847	0.0	0.0	0.0	0.00709	1.60937	0.0	0.84004	0.00033	0.00022	0.01253	0.0	0.29299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05027	0.04304	2.22914	0.12753	0.00124	0.0806	0.00078	0.00211	0.02863	0.00164	0.00205	0.0	0.0	0.0	0.0	0.40016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46526	0.46836	0.00321	0.12304	0.00369	0.012	0.00271	0.00258	0.00124	1.67917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00102	0.0	0.0261	0.0	0.0	0.10751	0.23183	0.0	0.12414	0.07924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0753	6.06294	0.00249	0.00801	0.01391	0.0054	0.00412	0.00549	0.00489	0.00443	0.00617	0.01275	0.0	0.0	0.0	0.0	0.0	0.00362	0.0	0.0	2.11259	0.0	0.0	0.0	0.01739	0.06428	0.0	0.02873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.62479	0.02958	0.00583	0.00674	0.16498	0.0	0.0	0.0	0.0
